dist	msl		z-amp	ut-vel	ur-vel
0.0		0.22	2.87	1.06	0.00
1.5		0.28	2.83	0.88	0.00
4.2		0.28	2.85	0.86	0.00
6.6		0.31	2.87	0.89	0.00
9.9		0.33	2.88	0.91	0.00
11.3	0.33	2.89	0.99	0.01
13.6	0.33	2.90	1.04	0.01
16.1	0.32	2.93	1.20	0.01
19.0	0.37	2.91	1.16	0.01
21.5	0.39	2.92	1.17	0.01
24.1	0.41	2.94	1.23	0.01
26.1	0.41	2.97	1.27	0.01
29.4	0.44	2.99	1.37	0.01
31.6	0.50	2.98	1.29	0.01
34.9	0.54	3.01	1.35	0.02
36.6	0.50	3.09	1.45	0.02
39.0	0.53	3.15	1.48	0.02
41.8	0.56	3.21	1.56	0.02
44.3	0.61	3.26	1.55	0.02
45.9	0.71	3.21	1.31	0.02
47.6	0.70	3.27	1.13	0.03
49.4	0.72	3.28	1.33	0.04
51.3	0.79	3.26	1.25	0.04
52.7	0.82	3.26	1.24	0.04
54.4	0.89	3.23	1.18	0.04
56.2	0.92	3.23	1.22	0.05
57.8	0.96	3.21	1.30	0.07
59.7	1.27	2.93	1.65	0.08
60.6	1.28	2.92	1.54	0.07
64.2	1.32	2.87	2.11	0.07
68.5	1.34	2.94	2.26	0.07
71.5	1.35	3.02	2.28	0.07


